text	favorited	favoriteCount	replyToSN	created	truncated	replyToSID	id	replyToUID	statusSource	screenName	retweetCount	isRetweet	retweeted	longitude	latitude
In Tampa, Florida- thank you to all of our outstanding volunteers who want to #MakeAmericaGreatAgain! https://t.co/04qqpGylT7	FALSE	20613.0	NA	2016-06-11T14:58:18Z	FALSE	NA	741645740884303872	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	5326.0	FALSE	FALSE	NA	NA
Don King, and so many other African Americans who know me well and endorsed me, would not have done so if they thought I was a racist!	FALSE	28922.0	NA	2016-06-11T12:00:26Z	FALSE	NA	741600981251657728	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	9807.0	FALSE	FALSE	NA	NA
Mitt Romney had his chance to beat a failed president but he choked like a dog. Now he calls me racist-but I am least racist person there is	FALSE	34169.0	NA	2016-06-11T11:18:19Z	FALSE	NA	741590381503086592	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	10962.0	FALSE	FALSE	NA	NA
"Thank you Richmond, Virginia! 
#Trump2016 https://t.co/SxU4yzCLQf"	FALSE	14536.0	NA	2016-06-11T04:30:44Z	FALSE	NA	741487809576439811	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4317.0	FALSE	FALSE	NA	NA
"Thank you @FaithandFreedom Coalition! An honor joining you today- to discuss our shared values.
#RTM2016 #Trump2016 https://t.co/Ye6IhOW6ZM"	FALSE	14942.0	NA	2016-06-10T21:24:38Z	FALSE	NA	741380579313098752	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4324.0	FALSE	FALSE	NA	NA
"Heading to Richmond, Virginia now. Join me tonight! #Trump2016
Tickets: https://t.co/I2CJSqiKGN"	FALSE	9142.0	NA	2016-06-10T20:39:41Z	FALSE	NA	741369263525662721	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	2432.0	FALSE	FALSE	NA	NA
#FlashbackFriday #CrookedHillary https://t.co/pvrBb7v4NG	FALSE	22262.0	NA	2016-06-10T19:27:13Z	FALSE	NA	741351028273086464	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	11266.0	FALSE	FALSE	NA	NA
"I rarely agree with President Obama- however he is 100% correct about Crooked Hillary Clinton. Great ad!
https://t.co/aOvVsZfAW3"	FALSE	45003.0	NA	2016-06-10T16:49:14Z	FALSE	NA	741311272818475008	NA	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	realDonaldTrump	26023.0	FALSE	FALSE	NA	NA
"2004 VIDEO:
Pocahontas describing Crooked Hillary Clinton as a Corporate Donor Puppet. Time for change! #Trump2016 
https://t.co/rZ1MqUzpKU"	FALSE	19271.0	NA	2016-06-10T16:12:13Z	FALSE	NA	741301954324910080	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	9940.0	FALSE	FALSE	NA	NA
Heading to D.C. to speak at Faith and Freedom Coalition and visit OPO.	FALSE	11188.0	NA	2016-06-10T15:55:55Z	FALSE	NA	741297855168716801	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	2601.0	FALSE	FALSE	NA	NA
